"text","cmp_code","eu_code"
"1 Restoring Devolution Now","H",NA
"The Democratic Unionist Party believes that Northern Ireland needs a working Assembly and Executive as the best form of government for all of our people.","301",NA
"Stormont is far from perfect but it is immeasurably better than what happened before or what would replace it.","301",NA
"The progress we have made should not be easily cast aside to be replaced by uncertainty with power transferred to unaccountable Direct Rule Ministers.","301",NA
"There are 5 pressing reasons why we need devolution restored immediately.","301",NA
"To help achieve the best deal for Northern Ireland as the UK leaves the EU","110",NA
"– at precisely the time when Northern Ireland’s voice needs to be heard loudly and clearly the Northern Ireland Executive has not been formed.","301",NA
"If we are to deal with the challenges and seize the opportunities that leaving the European Union presents then we need our own local Ministers lobbying London and Brussels.","110",NA
"To get a Budget put in place –","303",NA
"Northern Ireland is in unchartered territory where senior Civil Servants are making public spending decisions and not elected politicians.","303",NA
"Sinn Fein’s Finance Minister left post without proposing a Budget.","305.1",NA
"Key public services and – most importantly – the people who rely on them, need a Budget to be set so they can get the support they need.","303",NA
"To progress much needed health reforms –","504",NA
"our National Health Service faces unprecedented pressures.","504",NA
"The DUP kick started much needed reforms aimed at creating a new model of health and social care","504",NA
"and reducing bureaucracy and streamlining structures.","303",NA
"Those reforms are now effectively on hold with challenges like waiting lists mounting.","504",NA
"People should not have to wait any longer to have those reforms implemented and problems tackled.","504",NA
"To protect and improve our education system –","506",NA
"the impact of not having an Executive in place is already being felt across our school system.","506",NA
"Having an Executive up and running is critical to resolving the funding crisis facing our schools thus ensuring that we prioritise frontline funding for our schools so that all our children receive the best educational start in life.","506",NA
"It is vital that we build on positive practical reforms in education.","506",NA
"To attract investment and jobs –","701",NA
"it is no coincidence that our record levels of inward investment have happened during a sustained period of devolution.","301",NA
"Having stable structures at Stormont with local Ministers leading efforts to sell Northern Ireland internationally has helped us secure thousands of new jobs.","701",NA
"Without devolution, all of the efforts to reduce our rate of Corporation tax will have been for nothing.","301",NA
"Political stability is key to our future economic success.","305.3",NA
"THE STRONGEST, MOST EXPERIENCED UNIONIST TEAM READY FOR NEGOTIATIONS","H",NA
"Immediately after the General Election, we will enter another round of negotiations.","305.3",NA
"The DUP will place the interests of the people of Northern Ireland first in those negotiations.","305.3",NA
"We will not draw any red lines or put any roadblocks in the way of seeing an Executive formed straight away.","305.3",NA
"It is absolutely imperative that voters use this election to not only send a clear message that they want to see Stormont restored","301",NA
"but also give unionism the strongest possible hand in the talks.","601.1",NA
"No other Party has the strength, unity or experience of delivering for unionism that the DUP possesses.","305.1",NA
"Unionists remember what it was like in the past when Sinn Fein were able to advance their radical republican agenda in negotiations, aided and abetted by weak unionists.","305.1",NA
"This all changed when the DUP started to lead unionism.","305.1",NA
"Since 2003, the DUP has slowly but surely regained ground for unionism culminating in the Stormont House and Fresh Start Agreements.","305.1",NA
"Sinn Fein have sought to use their mandate at the last Assembly election to block the re-establishment of the Assembly,","305.1",NA
"to demand a destabilising Border Poll","305.1",NA
"and to push their agenda.","305.1",NA
"It’s time for unionists to come out and vote so the real voice of Northern Ireland is heard.","601.1",NA
"The DUP needs a strong mandate to stand strong against Sinn Fein’s demands.","305.1",NA
"Immediately after the election on 8 June the negotiations aimed at restoring devolution will recommence with a view to establishing a new Executive by 29 June.","301",NA
"We will enter these negotiations with a positive approach and a goal of seeing the Assembly and Executive restored.","301",NA
"We will not draw any red lines or preconditions but will judge any potential deal against 5 core tests.^","301",NA
"Is the agreement likely to increase support for Northern Ireland’s constitutional position within the United Kingdom?","301",NA
"Is the agreement fully consistent with Northern Ireland remaining a full and integral part of the United Kingdom?","601.1",NA
"Is the agreement fully compatible with our British citizenship?","601.1",NA
"Will the agreement result in better government and policies for the people of Northern Ireland than a return to Direct Rule?","301",NA
"Is the agreement consistent with the mandate we received for our Assembly manifesto in March?","202.1",NA
"For ease of reference we set out the 10 commitments for negotiations which were endorsed on 2 March.","301",NA
"OUR 10 COMMITMENTS IN NEGOTIATIONS","H",NA
"We will work to avoid Direct Rule and get local government back at Stormont as quickly as possible.","301",NA
"Our demands in negotiations will be proportionate to those of Gerry Adams and Sinn Fein.","202.1",NA
"As has been the case since 2007, we remain committed to working constructively and in partnership with all those who are in an Executive after an election.","202.1",NA
"We will respond positively to any proposals to increase transparency, accountability","202.1",NA
"and will help the institutions function more effectively.","202.1",NA
"We will not compromise on fundamental unionist principles in order to retain power.","601.1",NA
"We will not permit the rewriting of the past","601.1",NA
"or the persecution of the security forces.","605.1",NA
"We will oppose any Border Poll outside the terms of the Belfast Agreement.","601.1",NA
"We will stand over those proposals for reform as set out in our ‘Making Stormont Work Better’ document which have not yet been delivered.","305.1",NA
"We will work to ensure the full implementation of the Military Covenant in Northern Ireland.","104",NA
"We will honour all previous commitments we have made on the basis that republicans will honour theirs as well.","202.1",NA
"2 Increasing Family Incomes","H",NA
"Our national and local economy has been improving steadily over the last number of years.","410",NA
"Indeed, Northern Ireland is performing better in some aspects than the rest of the UK.","410",NA
"The DUP believes that it is essential that the benefits of economic growth are felt by everyone, everywhere.","503",NA
"An improving economy must not just be for the benefit of big companies or confined to London and the South East.","503",NA
"Growth must also have a meaningful and positive impact on the lives of hardworking families in every part of our nation.","503",NA
"We welcome the fact that median gross weekly earnings for full-time employees increased by 2.2% in Northern Ireland last year.","701",NA
"That made it the second consecutive annual increase in inflation adjusted earnings in the region.","701",NA
"We want to see continued improvement in earnings and incomes.","701",NA
"We understand that it will be the responsibility of the Party that forms the next Government to bring forward a Budget that encourages economic growth","410",NA
"and protects our society’s most vulnerable.","503",NA
"The DUP proposes measures aimed at increasing family incomes that we seek to have included in future Budgets.","701",NA
"INCREASE THE NATIONAL LIVING WAGE","H",NA
"The newly introduced National Living Wage (NLW) has helped increase family incomes across the United Kingdom.","412",NA
"Whilst acknowledging the pressures that the NLW can place upon small businesses, the DUP believes that it can have a positive impact on working families, help lift people out of poverty and make work pay.","412",NA
"The DUP supports:Continued increases in the National Living Wage; and","412",NA
"Firm action against companies who fail to pay their staff the NLW.","605.1",NA
"FURTHER INCREASE THE PERSONAL TAX ALLOWANCE","H",NA
"The DUP were frontrunners in proposing increases in the personal tax allowance.","504",NA
"We firmly believe that the gradual increase in the personal tax allowance has been positive for all taxpayers but especially for the lowest paid, taking them out of the tax system entirely, and hugely beneficial for thousands of people from Northern Ireland.","504",NA
"In Parliament, we will support proposals to further increase the personal allowance.","504",NA
"FREEZE THEN CUT OR ABOLISH THE TV LICENCE AND REFORM THE BBC","H",NA
"The TV licence fee is a highly regressive tax which was designed for a different era and a world of communication that no longer exists.","303",NA
"The success of Netflix and Amazon streaming services shows that subscription based media can and does work.","401",NA
"An independent Commission should be established to conduct a review of how the BBC is structured and the services it provides","303",NA
"and to examine alternative funding models,","401",NA
"identify the opportunities for competitive tendering of key services","401",NA
"and produce a plan that will either significantly reduce the licence fee or abolish it.","401",NA
"PROTECTING PENSIONS","H",NA
